"","WasdeNumber","MarketYear","ReleaseDate","ForecastYear","ForecastMonth","Acres","Use","Yield","Date","P_current","P_diff"
"1",481,"2009/10",2010-04-09,2010,4,79.6,12915,164.9,"4/9/2010",345.75,-2.5
"2",482,"2010/11",2010-05-11,2010,5,81.8,13300,163.5,"5/11/2010",369.75,6.75
"3",483,"2010/11",2010-06-10,2010,6,81.8,13410,163.5,"6/10/2010",343.25,5
"4",484,"2010/11",2010-07-09,2010,7,81,13360,163.5,"7/9/2010",375.25,-2.25
"5",485,"2010/11",2010-08-12,2010,8,81,13490,165,"8/12/2010",406.25,10.75
"6",486,"2010/11",2010-09-10,2010,9,81,13440,162.5,"9/10/2010",464,7.75
"7",487,"2010/11",2010-10-08,2010,10,81.3,13480,155.8,"10/8/2010",528.25,30
"8",488,"2010/11",2010-11-09,2010,11,81.3,13430,154.3,"11/9/2010",576.25,-9
"9",489,"2010/11",2010-12-10,2010,12,81.3,13430,154.3,"12/10/2010",560.25,0
"10",490,"2010/11",2011-01-12,2011,1,81.4,13430,152.8,"1/12/2011",631,24
"11",491,"2010/11",2011-02-09,2011,2,81.4,13500,152.8,"2/9/2011",698,24.25
"12",492,"2010/11",2011-03-10,2011,3,81.4,13500,152.8,"3/10/2011",676.25,-18.75
"13",493,"2010/11",2011-04-08,2011,4,81.4,13500,152.8,"4/8/2011",768,9
"14",494,"2011/12",2011-05-11,2011,5,85.1,13355,158.7,"5/11/2011",668.75,-37.25
"15",495,"2011/12",2011-06-09,2011,6,83.2,13255,158.7,"6/9/2011",785.5,21.5
"16",496,"2011/12",2011-07-12,2011,7,84.9,13500,158.7,"7/12/2011",697,15.5
"17",497,"2011/12",2011-08-11,2011,8,84.4,13160,153,"8/11/2011",702.5,24.5
"18",498,"2011/12",2011-09-12,2011,9,84.4,12760,148.1,"9/12/2011",734.25,-2.25
"19",499,"2011/12",2011-10-12,2011,10,83.9,12710,148.1,"10/12/2011",640.75,-4.25
"20",500,"2011/12",2011-11-09,2011,11,83.9,12610,146.7,"11/9/2011",656,-4.5
"21",501,"2011/12",2011-12-09,2011,12,83.9,12605,146.7,"12/9/2011",585.5,-4.5
"22",502,"2011/12",2012-01-12,2012,1,84,12655,147.2,"1/12/2012",611.5,-40
"23",503,"2011/12",2012-02-09,2012,2,84,12705,147.2,"2/9/2012",637,-5.5
"24",504,"2011/12",2012-03-09,2012,3,84,12705,147.2,"3/9/2012",654,9
"25",505,"2011/12",2012-04-10,2012,4,84,12705,147.2,"4/10/2012",634.75,-14.25
"26",506,"2012/13",2012-05-10,2012,5,89.1,13775,166,"5/10/2012",625.5,-15.75
"27",507,"2012/13",2012-06-12,2012,6,89.1,13775,166,"6/12/2012",584,-8
"28",508,"2012/13",2012-07-11,2012,7,88.9,12720,146,"7/11/2012",750.75,-10.25
"29",509,"2012/13",2012-08-10,2012,8,87.4,11225,123.4,"8/10/2012",800,-18.25
"30",510,"2012/13",2012-09-12,2012,9,87.4,11250,122.8,"9/12/2012",771,-11.25
"31",511,"2012/13",2012-10-11,2012,10,87.7,11150,122,"10/11/2012",773.25,36.5
"32",512,"2012/13",2012-11-09,2012,11,87.7,11167,122.3,"11/9/2012",738.75,-2.5
"33",513,"2012/13",2012-12-11,2012,12,87.7,11167,122.3,"12/11/2012",724.25,-2.5
"34",514,"2012/13",2013-01-11,2013,1,87.4,11267,123.4,"1/11/2013",708.75,10
"35",515,"2012/13",2013-02-08,2013,2,87.4,11237,123.4,"2/8/2013",709,-1.75
"36",516,"2012/13",2013-03-08,2013,3,87.4,11262,123.4,"3/8/2013",725.25,13.75
"37",517,"2012/13",2013-04-10,2013,4,87.4,11137,123.4,"4/10/2013",649,4.75
"38",518,"2013/14",2013-05-10,2013,5,89.5,12920,158,"5/10/2013",687.75,-6.75
"39",519,"2013/14",2013-06-12,2013,6,89.5,12850,156.5,"6/12/2013",650.75,-8.75
"40",520,"2013/14",2013-07-11,2013,7,89.1,12750,156.5,"7/11/2013",716.75,7
"41",521,"2013/14",2013-08-12,2013,8,89.1,12675,154.4,"8/12/2013",472,6.25
"42",522,"2013/14",2013-09-12,2013,9,89.1,12675,155.3,"9/12/2013",479,-0.75
"43",523,"2013/14",2013-11-08,2013,11,87.2,12950,160.4,"11/8/2013",426.75,6.25
"44",524,"2013/14",2013-12-10,2013,12,87.2,13050,160.4,"12/10/2013",427.5,-1
"45",525,"2013/14",2014-01-10,2014,1,87.7,13150,158.8,"1/10/2014",432.75,20.75
"46",526,"2013/14",2014-02-10,2014,2,87.7,13300,158.8,"2/10/2014",443,-1.25
"47",527,"2013/14",2014-03-10,2014,3,87.7,13325,158.8,"3/10/2014",472,-9
"48",528,"2013/14",2014-04-09,2014,4,87.7,13450,158.8,"4/9/2014",502.25,-4.75
"49",529,"2014/15",2014-05-09,2014,5,84.3,13385,165.3,"5/9/2014",505,-8.25
"50",530,"2014/15",2014-06-11,2014,6,84.3,13385,165.3,"6/11/2014",441,-4.5
"51",531,"2014/15",2014-07-11,2014,7,83.8,13335,165.3,"7/11/2014",399.75,-0.75
"52",532,"2014/15",2014-08-12,2014,8,83.8,13435,167.4,"8/12/2014",358.5,1.75
"53",533,"2014/15",2014-09-11,2014,9,83.8,13605,171.7,"9/11/2014",331.75,-7
"54",534,"2014/15",2014-10-10,2014,10,83.1,13655,174.2,"10/10/2014",334,-10.75
"55",535,"2014/15",2014-11-10,2014,11,83.1,13660,173.4,"11/10/2014",369.25,1.75
"56",536,"2014/15",2014-12-10,2014,12,83.1,13670,173.4,"12/10/2014",382.5,-0.5
"57",537,"2014/15",2015-01-12,2015,1,83.1,13595,171,"1/12/2015",402,1.75
"58",538,"2014/15",2015-02-10,2015,2,83.1,13645,171,"2/10/2015",388,-3.25
"59",539,"2014/15",2015-03-10,2015,3,83.1,13695,171,"3/10/2015",382.25,-1
"60",540,"2014/15",2015-04-09,2015,4,83.1,13645,171,"4/9/2015",378,-1.25
"61",541,"2015/16",2015-05-12,2015,5,81.7,13760,166.8,"5/12/2015",357,-1.25
"62",542,"2015/16",2015-06-10,2015,6,81.7,13760,166.8,"6/10/2015",357.25,-7.75
"63",543,"2015/16",2015-07-10,2015,7,81.1,13735,166.8,"7/10/2015",427.25,6
"64",544,"2015/16",2015-08-12,2015,8,81.1,13775,168.8,"8/12/2015",357.25,-19.25
"65",545,"2015/16",2015-09-11,2015,9,81.1,13755,167.5,"9/11/2015",374.5,12.75
"66",546,"2015/16",2015-10-09,2015,10,80.7,13755,168,"10/9/2015",382.75,-8.5
"67",547,"2015/16",2015-11-10,2015,11,80.7,13655,169.3,"11/10/2015",359,-7.75
"68",548,"2015/16",2015-12-09,2015,12,80.7,13630,169.3,"12/9/2015",371.75,1.75
"69",549,"2015/16",2016-01-12,2016,1,80.7,13570,168.4,"1/12/2016",356.75,5
"70",550,"2015/16",2016-02-09,2016,2,80.7,13545,168.4,"2/9/2016",361,-1.25
"71",551,"2015/16",2016-03-09,2016,3,80.7,13545,168.4,"3/9/2016",359,0.25
"72",552,"2015/16",2016-04-12,2016,4,80.7,13521,168.4,"4/12/2016",362.75,6
"73",553,"2016/17",2016-05-10,2016,5,85.9,14120,168,"5/10/2016",378.5,10.75
"74",554,"2016/17",2016-06-10,2016,6,85.9,14170,168,"6/10/2016",423,-3.5
"75",555,"2016/17",2016-07-12,2016,7,86.6,14200,168,"7/12/2016",349.75,6
"76",556,"2016/17",2016-08-12,2016,8,86.6,14500,175.1,"8/12/2016",322.25,1.25
"77",557,"2016/17",2016-09-12,2016,9,86.6,14475,174.4,"9/12/2016",329.25,-0.75
"78",558,"2016/17",2016-10-12,2016,10,86.8,14525,173.4,"10/12/2016",337,-8.5
"79",559,"2016/17",2016-11-09,2016,11,86.8,14610,175.3,"11/9/2016",340.75,-13.5
"80",560,"2016/17",2016-12-09,2016,12,86.8,14610,175.3,"12/9/2016",352.5,6
"81",561,"2016/17",2017-01-12,2017,1,86.7,14585,174.6,"1/12/2017",358.25,1
"82",562,"2016/17",2017-02-09,2017,2,86.7,14620,174.6,"2/9/2017",369.5,-1.25
"83",563,"2016/17",2017-03-09,2017,3,86.7,14620,174.6,"3/9/2017",359.75,-5.5
"84",564,"2016/17",2017-04-11,2017,4,86.7,14620,174.6,"4/11/2017",366.5,-0.5
"85",565,"2017/18",2017-05-10,2017,5,82.4,14300,170.7,"5/10/2017",365.25,7
"86",566,"2017/18",2017-06-09,2017,6,82.4,14300,170.7,"6/9/2017",387.75,2
"87",567,"2017/18",2017-07-12,2017,7,83.5,14350,170.7,"7/12/2017",376.25,-16
"88",568,"2017/18",2017-08-10,2017,8,83.5,14300,169.5,"8/10/2017",357.25,-15
"89",569,"2017/18",2017-09-12,2017,9,83.5,14250,169.9,"9/12/2017",340,-5.5
"90",570,"2017/18",2017-10-12,2017,10,83.1,14285,171.8,"10/12/2017",349,3
"91",571,"2017/18",2017-11-09,2017,11,83.1,14435,175.4,"11/9/2017",341.5,-6.75
"92",572,"2017/18",2017-12-12,2017,12,83.1,14485,175.4,"12/12/2017",335.75,-0.75
"93",573,"2017/18",2018-01-12,2018,1,82.7,14470,176.6,"1/12/2018",346.25,-2.5
"94",574,"2017/18",2018-02-08,2018,2,82.7,14595,176.6,"2/8/2018",365.75,0.5
"95",575,"2017/18",2018-03-08,2018,3,82.7,14820,176.6,"3/8/2018",385.75,6.5
"96",576,"2017/18",2018-04-10,2018,4,82.7,14765,176.6,"4/10/2018",389.25,-1.5
"97",577,"2018/19",2018-05-10,2018,5,80.7,14590,174,"5/10/2018",394.75,0
"98",578,"2018/19",2018-06-12,2018,6,80.7,14615,174,"6/12/2018",377.5,10.25
"99",579,"2018/19",2018-07-12,2018,7,81.8,14755,174,"7/12/2018",336.5,5.25
"100",580,"2018/19",2018-08-10,2018,8,81.8,14980,178.4,"8/10/2018",357.75,-11.5
"101",581,"2018/19",2018-09-12,2018,9,81.8,15105,181.3,"9/12/2018",341.5,-13.75
"102",582,"2018/19",2018-10-11,2018,10,81.8,15155,180.7,"10/11/2018",369.25,6.5
"103",583,"2018/19",2018-11-08,2018,11,81.8,15080,178.9,"11/8/2018",373.5,1.25
"104",584,"2018/19",2018-12-11,2018,12,81.8,15030,178.9,"12/11/2018",375,0.75
"105",585,"2018/19",2019-02-08,2019,2,81.7,14865,176.4,"2/8/2019",374.25,-2.25
"106",586,"2018/19",2019-03-08,2019,3,81.7,14765,176.4,"3/8/2019",354.75,-1.25
"107",587,"2018/19",2019-04-09,2019,4,81.7,14565,176.4,"4/9/2019",360,0
"108",588,"2019/20",2019-05-10,2019,5,85.4,14675,176,"5/10/2019",342.5,-2
"109",589,"2019/20",2019-06-11,2019,6,82.4,14250,166,"6/11/2019",427.75,12
"110",590,"2019/20",2019-07-11,2019,7,83.6,14255,166,"7/11/2019",447.75,13.5
"111",591,"2019/20",2019-08-12,2019,8,82,14130,169.5,"8/12/2019",385.25,-25
"112",592,"2019/20",2019-09-12,2019,9,82,14105,168.2,"9/12/2019",354.5,6.25
"113",593,"2019/20",2019-10-10,2019,10,81.8,14015,168.4,"10/10/2019",380.25,-14
"114",594,"2019/20",2019-11-08,2019,11,81.8,13915,167,"11/8/2019",377.25,2
"115",595,"2019/20",2019-12-10,2019,12,81.8,13915,167,"12/10/2019",363.25,-2.5
"116",596,"2019/20",2020-01-10,2020,1,81.5,14070,168,"1/10/2020",385.75,2.5
"117",597,"2019/20",2020-02-11,2020,2,81.5,14070,168,"2/11/2020",379.75,-2
"118",598,"2019/20",2020-03-10,2020,3,81.5,14070,168,"3/10/2020",380,5.75
"119",599,"2019/20",2020-04-09,2020,4,81.5,13865,168,"4/9/2020",331.75,1.75
"120",600,"2020/21",2020-05-12,2020,5,89.6,14800,178.5,"5/12/2020",323.75,5.25
"121",601,"2020/21",2020-06-11,2020,6,89.6,14800,178.5,"6/11/2020",329.75,3.5
"122",602,"2020/21",2020-07-10,2020,7,84,14625,178.5,"7/10/2020",340.5,-10.75
"123",603,"2020/21",2020-08-12,2020,8,84,14775,181.8,"8/12/2020",314.5,3
"124",604,"2020/21",2020-09-11,2020,9,83.5,14675,178.5,"9/11/2020",365,7.75
"125",605,"2020/21",2020-10-09,2020,10,82.5,14575,178.4,"10/9/2020",395,8
"126",606,"2020/21",2020-11-10,2020,11,82.5,14825,175.8,"11/10/2020",423,15.5
"127",607,"2020/21",2020-12-10,2020,12,82.5,14825,175.8,"12/10/2020",420.25,-1.75
