Date,Region,Cash,Contract,Futures
5/26/2016,East,3.89,Dec,4.0975
6/2/2016,East,3.96,Dec,4.1675
6/9/2016,East,4.08,Dec,4.335
6/16/2016,East,4.05,Dec,4.3575
6/23/2016,East,3.64,Dec,3.9775
6/30/2016,East,3.37,Dec,3.7125
1/7/2016,East,3.54,Jul,3.65
1/14/2016,East,3.58,Jul,3.68
1/21/2016,East,3.67,Jul,3.77
1/28/2016,East,3.66,Jul,3.75
2/4/2016,East,3.7,Jul,3.79
2/11/2016,East,3.61,Jul,3.7
2/18/2016,East,3.66,Jul,3.74
2/25/2016,East,3.55,Jul,3.66
3/3/2016,East,3.52,Jul,3.61
3/10/2016,East,3.57,Jul,3.68
3/17/2016,East,3.62,Jul,3.73
3/24/2016,East,3.63,Jul,3.75
3/31/2016,East,3.43,Jul,3.56
4/7/2016,East,3.53,Jul,3.64
4/14/2016,East,3.64,Jul,3.78
4/21/2016,East,3.75,Jul,3.9
4/28/2016,East,3.74,Jul,3.91
5/5/2016,East,3.57,Jul,3.74
5/12/2016,East,3.71,Jul,3.89
5/19/2016,East,3.71,Jul,3.9
5/26/2016,East,3.89,Jul,4.0825
6/2/2016,East,3.96,Jul,4.1525
6/9/2016,East,4.08,Jul,4.265
6/16/2016,East,4.05,Jul,4.2525
6/23/2016,East,3.64,Jul,3.8725
6/30/2016,East,3.37,Jul,3.5875
1/7/2016,East,3.54,Sep,3.7
1/14/2016,East,3.58,Sep,3.74
1/21/2016,East,3.67,Sep,3.81
1/28/2016,East,3.66,Sep,3.8
2/4/2016,East,3.7,Sep,3.84
2/11/2016,East,3.61,Sep,3.75
2/18/2016,East,3.66,Sep,3.79
2/25/2016,East,3.55,Sep,3.72
3/3/2016,East,3.52,Sep,3.67
3/10/2016,East,3.57,Sep,3.72
3/17/2016,East,3.62,Sep,3.78
3/24/2016,East,3.63,Sep,3.79
3/31/2016,East,3.43,Sep,3.61
4/7/2016,East,3.53,Sep,3.67
4/14/2016,East,3.64,Sep,3.8
4/21/2016,East,3.75,Sep,3.89
4/28/2016,East,3.74,Sep,3.91
5/5/2016,East,3.57,Sep,3.76
5/12/2016,East,3.71,Sep,3.92
5/19/2016,East,3.71,Sep,3.925
5/26/2016,East,3.89,Sep,4.105
6/2/2016,East,3.96,Sep,4.1575
6/9/2016,East,4.08,Sep,4.305
6/16/2016,East,4.05,Sep,4.305
6/23/2016,East,3.64,Sep,3.925
6/30/2016,East,3.37,Sep,3.655
1/7/2016,North,3.71,Dec,3.79
1/14/2016,North,3.76,Dec,3.82
1/21/2016,North,3.85,Dec,3.89
1/28/2016,North,3.83,Dec,3.88
2/4/2016,North,3.86,Dec,3.91
2/11/2016,North,3.78,Dec,3.83
2/18/2016,North,3.81,Dec,3.87
2/25/2016,North,3.71,Dec,3.8
3/3/2016,North,3.62,Dec,3.76
3/10/2016,North,3.63,Dec,3.81
3/17/2016,North,3.69,Dec,3.87
3/24/2016,North,3.7,Dec,3.87
3/31/2016,North,3.52,Dec,3.69
4/7/2016,North,3.61,Dec,3.74
4/14/2016,North,3.72,Dec,3.86
4/21/2016,North,3.82,Dec,3.94
4/28/2016,North,3.85,Dec,3.95
5/5/2016,North,3.71,Dec,3.82
5/12/2016,North,3.87,Dec,3.96
5/19/2016,North,3.84,Dec,3.9725
5/26/2016,North,4.01,Dec,4.0975
6/2/2016,North,4.08,Dec,4.1675
6/9/2016,North,4.17,Dec,4.335
6/16/2016,North,4.15,Dec,4.3575
6/23/2016,North,3.77,Dec,3.9775
6/30/2016,North,3.49,Dec,3.7125
1/7/2016,North,3.71,Jul,3.65
1/14/2016,North,3.76,Jul,3.68
1/21/2016,North,3.85,Jul,3.77
1/28/2016,North,3.83,Jul,3.75
2/4/2016,North,3.86,Jul,3.79
2/11/2016,North,3.78,Jul,3.7
2/18/2016,North,3.81,Jul,3.74
2/25/2016,North,3.71,Jul,3.66
3/3/2016,North,3.62,Jul,3.61
3/10/2016,North,3.63,Jul,3.68
3/17/2016,North,3.69,Jul,3.73
3/24/2016,North,3.7,Jul,3.75
3/31/2016,North,3.52,Jul,3.56
4/7/2016,North,3.61,Jul,3.64
4/14/2016,North,3.72,Jul,3.78
4/21/2016,North,3.82,Jul,3.9
4/28/2016,North,3.85,Jul,3.91
5/5/2016,North,3.71,Jul,3.74
5/12/2016,North,3.87,Jul,3.89
5/19/2016,North,3.84,Jul,3.9
5/26/2016,North,4.01,Jul,4.0825
6/2/2016,North,4.08,Jul,4.1525
6/9/2016,North,4.17,Jul,4.265
6/16/2016,North,4.15,Jul,4.2525
6/23/2016,North,3.77,Jul,3.8725
6/30/2016,North,3.49,Jul,3.5875
1/7/2016,North,3.71,Sep,3.7
1/14/2016,North,3.76,Sep,3.74
1/21/2016,North,3.85,Sep,3.81
1/28/2016,North,3.83,Sep,3.8
2/4/2016,North,3.86,Sep,3.84
2/11/2016,North,3.78,Sep,3.75
2/18/2016,North,3.81,Sep,3.79
2/25/2016,North,3.71,Sep,3.72
3/3/2016,North,3.62,Sep,3.67
3/10/2016,North,3.63,Sep,3.72
3/17/2016,North,3.69,Sep,3.78
3/24/2016,North,3.7,Sep,3.79
3/31/2016,North,3.52,Sep,3.61
4/7/2016,North,3.61,Sep,3.67
4/14/2016,North,3.72,Sep,3.8
4/21/2016,North,3.82,Sep,3.89
4/28/2016,North,3.85,Sep,3.91
5/5/2016,North,3.71,Sep,3.76
5/12/2016,North,3.87,Sep,3.92
5/19/2016,North,3.84,Sep,3.925
5/26/2016,North,4.01,Sep,4.105
6/2/2016,North,4.08,Sep,4.1575
6/9/2016,North,4.17,Sep,4.305
6/16/2016,North,4.15,Sep,4.305
6/23/2016,North,3.77,Sep,3.925
6/30/2016,North,3.49,Sep,3.655
1/5/2017,Central,3.56,Dec,3.885
1/12/2017,Central,3.58,Dec,3.86
1/19/2017,Central,3.74,Dec,3.935
1/26/2017,Central,3.77,Dec,3.9075
2/2/2017,Central,3.61,Dec,3.945
2/9/2017,Central,3.64,Dec,3.9575
2/16/2017,Central,3.46,Dec,3.99
2/23/2017,Central,3.39,Dec,3.9175
3/2/2017,Central,3.38,Dec,3.985
3/9/2017,Central,3.29,Dec,3.8825
3/16/2017,Central,3.29,Dec,3.875
3/23/2017,Central,3.23,Dec,3.8
3/30/2017,Central,3.19,Dec,3.81
4/6/2017,Central,3.2,Dec,3.86
4/13/2017,Central,3.37,Dec,3.945
4/20/2017,Central,3.4,Dec,3.825
4/27/2017,Central,3.3,Dec,3.8675
5/4/2017,Central,3.21,Dec,3.845
5/11/2017,Central,3.25,Dec,3.8725
5/18/2017,Central,3.41,Dec,3.84
5/25/2017,Central,3.41,Dec,3.875
6/1/2017,Central,3.04,Dec,3.8925
6/8/2017,Central,3.33,Dec,4.0375
6/15/2017,Central,3.39,Dec,3.9775
6/22/2017,Central,3,Dec,3.8075
6/29/2017,Central,3.2,Dec,3.8
1/5/2017,Central,3.56,Jul,3.7425
1/12/2017,Central,3.58,Jul,3.7175
1/19/2017,Central,3.74,Jul,3.8
1/26/2017,Central,3.77,Jul,3.78
2/2/2017,Central,3.61,Jul,3.82
2/9/2017,Central,3.64,Jul,3.84
2/16/2017,Central,3.46,Jul,3.8775
2/23/2017,Central,3.39,Jul,3.7975
3/2/2017,Central,3.38,Jul,3.8625
3/9/2017,Central,3.29,Jul,3.745
3/16/2017,Central,3.29,Jul,3.735
3/23/2017,Central,3.23,Jul,3.645
3/30/2017,Central,3.19,Jul,3.65
4/6/2017,Central,3.2,Jul,3.685
4/13/2017,Central,3.37,Jul,3.78
4/20/2017,Central,3.4,Jul,3.6425
4/27/2017,Central,3.3,Jul,3.6925
5/4/2017,Central,3.21,Jul,3.665
5/11/2017,Central,3.25,Jul,3.6925
5/18/2017,Central,3.41,Jul,3.66
5/25/2017,Central,3.41,Jul,3.6925
6/1/2017,Central,3.04,Jul,3.705
6/8/2017,Central,3.33,Jul,3.8575
6/15/2017,Central,3.39,Jul,3.795
6/22/2017,Central,3,Jul,3.6275
6/29/2017,Central,3.2,Jul,3.5975
1/5/2017,Central,3.56,Sep,3.8075
1/12/2017,Central,3.58,Sep,3.7875
1/19/2017,Central,3.74,Sep,3.865
1/26/2017,Central,3.77,Sep,3.8425
2/2/2017,Central,3.61,Sep,3.8825
2/9/2017,Central,3.64,Sep,3.8975
2/16/2017,Central,3.46,Sep,3.9325
2/23/2017,Central,3.39,Sep,3.8575
3/2/2017,Central,3.38,Sep,3.9225
3/9/2017,Central,3.29,Sep,3.8125
3/16/2017,Central,3.29,Sep,3.8
3/23/2017,Central,3.23,Sep,3.72
3/30/2017,Central,3.19,Sep,3.7225
4/6/2017,Central,3.2,Sep,3.7625
4/13/2017,Central,3.37,Sep,3.845
4/20/2017,Central,3.4,Sep,3.7175
4/27/2017,Central,3.3,Sep,3.7625
5/4/2017,Central,3.21,Sep,3.74
5/11/2017,Central,3.25,Sep,3.7725
5/18/2017,Central,3.41,Sep,3.7375
5/25/2017,Central,3.41,Sep,3.77
6/1/2017,Central,3.04,Sep,3.785
6/8/2017,Central,3.33,Sep,3.935
6/15/2017,Central,3.39,Sep,3.875
6/22/2017,Central,3,Sep,3.7075
6/29/2017,Central,3.2,Sep,3.695
1/5/2017,East,3.3,Dec,3.885
1/12/2017,East,3.28,Dec,3.86
1/19/2017,East,3.36,Dec,3.935
1/26/2017,East,3.36,Dec,3.9075
2/2/2017,East,3.45,Dec,3.945
2/9/2017,East,3.53,Dec,3.9575
2/16/2017,East,3.57,Dec,3.99
2/23/2017,East,3.49,Dec,3.9175
3/2/2017,East,3.57,Dec,3.985
3/9/2017,East,3.47,Dec,3.8825
3/16/2017,East,3.49,Dec,3.875
3/23/2017,East,3.4,Dec,3.8
3/30/2017,East,3.41,Dec,3.81
4/6/2017,East,3.46,Dec,3.86
4/13/2017,East,3.56,Dec,3.945
4/20/2017,East,3.43,Dec,3.825
4/27/2017,East,3.48,Dec,3.8675
5/4/2017,East,3.5,Dec,3.845
5/11/2017,East,3.52,Dec,3.8725
5/18/2017,East,3.51,Dec,3.84
5/25/2017,East,3.56,Dec,3.875
6/1/2017,East,3.58,Dec,3.8925
6/8/2017,East,3.77,Dec,4.0375
6/15/2017,East,3.78,Dec,3.9775
6/22/2017,East,3.61,Dec,3.8075
6/29/2017,East,3.58,Dec,3.8
1/5/2017,East,3.3,Jul,3.7425
1/12/2017,East,3.28,Jul,3.7175
1/19/2017,East,3.36,Jul,3.8
1/26/2017,East,3.36,Jul,3.78
2/2/2017,East,3.45,Jul,3.82
2/9/2017,East,3.53,Jul,3.84
2/16/2017,East,3.57,Jul,3.8775
2/23/2017,East,3.49,Jul,3.7975
3/2/2017,East,3.57,Jul,3.8625
3/9/2017,East,3.47,Jul,3.745
3/16/2017,East,3.49,Jul,3.735
3/23/2017,East,3.4,Jul,3.645
3/30/2017,East,3.41,Jul,3.65
4/6/2017,East,3.46,Jul,3.685
4/13/2017,East,3.56,Jul,3.78
4/20/2017,East,3.43,Jul,3.6425
4/27/2017,East,3.48,Jul,3.6925
5/4/2017,East,3.5,Jul,3.665
5/11/2017,East,3.52,Jul,3.6925
5/18/2017,East,3.51,Jul,3.66
5/25/2017,East,3.56,Jul,3.6925
6/1/2017,East,3.58,Jul,3.705
6/8/2017,East,3.77,Jul,3.8575
6/15/2017,East,3.78,Jul,3.795
6/22/2017,East,3.61,Jul,3.6275
6/29/2017,East,3.58,Jul,3.5975
1/5/2017,East,3.3,Sep,3.8075
1/12/2017,East,3.28,Sep,3.7875
1/19/2017,East,3.36,Sep,3.865
1/26/2017,East,3.36,Sep,3.8425
2/2/2017,East,3.45,Sep,3.8825
2/9/2017,East,3.53,Sep,3.8975
2/16/2017,East,3.57,Sep,3.9325
2/23/2017,East,3.49,Sep,3.8575
3/2/2017,East,3.57,Sep,3.9225
3/9/2017,East,3.47,Sep,3.8125
3/16/2017,East,3.49,Sep,3.8
3/23/2017,East,3.4,Sep,3.72
3/30/2017,East,3.41,Sep,3.7225
4/6/2017,East,3.46,Sep,3.7625
4/13/2017,East,3.56,Sep,3.845
4/20/2017,East,3.43,Sep,3.7175
4/27/2017,East,3.48,Sep,3.7625
5/4/2017,East,3.5,Sep,3.74
5/11/2017,East,3.52,Sep,3.7725
5/18/2017,East,3.51,Sep,3.7375
5/25/2017,East,3.56,Sep,3.77
6/1/2017,East,3.58,Sep,3.785
6/8/2017,East,3.77,Sep,3.935
6/15/2017,East,3.78,Sep,3.875
6/22/2017,East,3.61,Sep,3.7075
6/29/2017,East,3.58,Sep,3.695
1/5/2017,North,3.49,Dec,3.885
1/12/2017,North,3.48,Dec,3.86
1/19/2017,North,3.56,Dec,3.935
1/26/2017,North,3.53,Dec,3.9075
2/2/2017,North,3.6,Dec,3.945
2/9/2017,North,3.69,Dec,3.9575
2/16/2017,North,3.73,Dec,3.99
2/23/2017,North,3.65,Dec,3.9175
3/2/2017,North,3.74,Dec,3.985
3/9/2017,North,3.65,Dec,3.8825
3/16/2017,North,3.64,Dec,3.875
3/23/2017,North,3.59,Dec,3.8
3/30/2017,North,3.6,Dec,3.81
4/6/2017,North,3.63,Dec,3.86
4/13/2017,North,3.74,Dec,3.945
4/20/2017,North,3.6,Dec,3.825
4/27/2017,North,3.45,Dec,3.8675
5/4/2017,North,3.69,Dec,3.845
5/11/2017,North,3.72,Dec,3.8725
5/18/2017,North,3.69,Dec,3.84
5/25/2017,North,3.72,Dec,3.875
6/1/2017,North,3.76,Dec,3.8925
6/8/2017,North,3.89,Dec,4.0375
6/15/2017,North,3.87,Dec,3.9775
6/22/2017,North,3.78,Dec,3.8075
6/29/2017,North,3.68,Dec,3.8
1/5/2017,North,3.49,Jul,3.7425
1/12/2017,North,3.48,Jul,3.7175
1/19/2017,North,3.56,Jul,3.8
1/26/2017,North,3.53,Jul,3.78
2/2/2017,North,3.6,Jul,3.82
2/9/2017,North,3.69,Jul,3.84
2/16/2017,North,3.73,Jul,3.8775
2/23/2017,North,3.65,Jul,3.7975
3/2/2017,North,3.74,Jul,3.8625
3/9/2017,North,3.65,Jul,3.745
3/16/2017,North,3.64,Jul,3.735
3/23/2017,North,3.59,Jul,3.645
3/30/2017,North,3.6,Jul,3.65
4/6/2017,North,3.63,Jul,3.685
4/13/2017,North,3.74,Jul,3.78
4/20/2017,North,3.6,Jul,3.6425
4/27/2017,North,3.45,Jul,3.6925
5/4/2017,North,3.69,Jul,3.665
5/11/2017,North,3.72,Jul,3.6925
5/18/2017,North,3.69,Jul,3.66
5/25/2017,North,3.72,Jul,3.6925
6/1/2017,North,3.76,Jul,3.705
6/8/2017,North,3.89,Jul,3.8575
6/15/2017,North,3.87,Jul,3.795
6/22/2017,North,3.78,Jul,3.6275
6/29/2017,North,3.68,Jul,3.5975
1/5/2017,North,3.49,Sep,3.8075
1/12/2017,North,3.48,Sep,3.7875
1/19/2017,North,3.56,Sep,3.865
1/26/2017,North,3.53,Sep,3.8425
2/2/2017,North,3.6,Sep,3.8825
2/9/2017,North,3.69,Sep,3.8975
2/16/2017,North,3.73,Sep,3.9325
2/23/2017,North,3.65,Sep,3.8575
3/2/2017,North,3.74,Sep,3.9225
3/9/2017,North,3.65,Sep,3.8125
3/16/2017,North,3.64,Sep,3.8
3/23/2017,North,3.59,Sep,3.72
3/30/2017,North,3.6,Sep,3.7225
4/6/2017,North,3.63,Sep,3.7625
4/13/2017,North,3.74,Sep,3.845
4/20/2017,North,3.6,Sep,3.7175
4/27/2017,North,3.45,Sep,3.7625
5/4/2017,North,3.69,Sep,3.74
5/11/2017,North,3.72,Sep,3.7725
5/18/2017,North,3.69,Sep,3.7375
5/25/2017,North,3.72,Sep,3.77
6/1/2017,North,3.76,Sep,3.785
6/8/2017,North,3.89,Sep,3.935
6/15/2017,North,3.87,Sep,3.875
6/22/2017,North,3.78,Sep,3.7075
6/29/2017,North,3.68,Sep,3.695
1/4/2018,Central,3.41,Dec,3.845
1/11/2018,Central,3.36,Dec,3.8275
1/18/2018,Central,3.28,Dec,3.85
1/25/2018,Central,3.31,Dec,3.885
2/1/2018,Central,3.3,Dec,3.9325
2/8/2018,Central,3.24,Dec,3.95
2/15/2018,Central,3.54,Dec,3.975
2/22/2018,Central,3.48,Dec,3.9725
3/1/2018,Central,3.36,Dec,4.0475
3/8/2018,Central,3.4,Dec,4.1025
3/15/2018,Central,3.46,Dec,4.0625
3/22/2018,Central,3.35,Dec,3.98
3/29/2018,Central,3.49,Dec,4.115
4/5/2018,Central,3.5,Dec,4.1325
4/12/2018,Central,3.66,Dec,4.135
4/19/2018,Central,3.4,Dec,4.08
4/26/2018,Central,3.52,Dec,4.1125
5/3/2018,Central,3.72,Dec,4.2225
5/10/2018,Central,3.73,Dec,4.195
5/17/2018,Central,3.64,Dec,4.13
5/24/2018,Central,4.01,Dec,4.225
5/31/2018,Central,3.98,Dec,4.1375
6/7/2018,Central,4.1,Dec,3.9675
6/21/2018,Central,3.81,Dec,3.7825
6/28/2018,Central,3.67,Dec,3.66
1/4/2018,Central,3.41,Jul,3.6775
1/11/2018,Central,3.36,Jul,3.65
1/18/2018,Central,3.28,Jul,3.6775
1/25/2018,Central,3.31,Jul,3.7175
2/1/2018,Central,3.3,Jul,3.7775
2/8/2018,Central,3.24,Jul,3.81
2/15/2018,Central,3.54,Jul,3.83
2/22/2018,Central,3.48,Jul,3.825
3/1/2018,Central,3.36,Jul,3.935
3/8/2018,Central,3.4,Jul,4.005
3/15/2018,Central,3.46,Jul,3.945
3/22/2018,Central,3.35,Jul,3.8425
3/29/2018,Central,3.49,Jul,3.9625
4/5/2018,Central,3.5,Jul,3.9825
4/12/2018,Central,3.66,Jul,3.9725
4/19/2018,Central,3.4,Jul,3.91
4/26/2018,Central,3.52,Jul,3.9525
5/3/2018,Central,3.72,Jul,4.08
5/10/2018,Central,3.73,Jul,4.02
5/17/2018,Central,3.64,Jul,3.9525
5/24/2018,Central,4.01,Jul,4.0425
5/31/2018,Central,3.98,Jul,3.94
6/7/2018,Central,4.1,Jul,3.7625
6/21/2018,Central,3.81,Jul,3.57
6/28/2018,Central,3.67,Jul,3.45
1/4/2018,Central,3.41,Sep,3.7525
1/11/2018,Central,3.36,Sep,3.73
1/18/2018,Central,3.28,Sep,3.7525
1/25/2018,Central,3.31,Sep,3.7925
2/1/2018,Central,3.3,Sep,3.85
2/8/2018,Central,3.24,Sep,3.8725
2/15/2018,Central,3.54,Sep,3.8975
2/22/2018,Central,3.48,Sep,3.895
3/1/2018,Central,3.36,Sep,3.9875
3/8/2018,Central,3.4,Sep,4.05
3/15/2018,Central,3.46,Sep,4
3/22/2018,Central,3.35,Sep,3.905
3/29/2018,Central,3.49,Sep,4.0325
4/5/2018,Central,3.5,Sep,4.0475
4/12/2018,Central,3.66,Sep,4.0425
4/19/2018,Central,3.4,Sep,3.985
4/26/2018,Central,3.52,Sep,4.0225
5/3/2018,Central,3.72,Sep,4.155
5/10/2018,Central,3.73,Sep,4.1025
5/17/2018,Central,3.64,Sep,4.035
5/24/2018,Central,4.01,Sep,4.13
5/31/2018,Central,3.98,Sep,4.0325
6/7/2018,Central,4.1,Sep,3.8525
6/21/2018,Central,3.81,Sep,3.665
6/28/2018,Central,3.67,Sep,3.5425
1/4/2018,East,3.6,Dec,3.845
1/11/2018,East,3.58,Dec,3.8275
1/18/2018,East,3.63,Dec,3.85
1/25/2018,East,3.66,Dec,3.885
2/1/2018,East,3.74,Dec,3.9325
2/8/2018,East,3.78,Dec,3.95
2/15/2018,East,3.81,Dec,3.975
2/22/2018,East,3.8,Dec,3.9725
3/1/2018,East,3.93,Dec,4.0475
3/8/2018,East,4.01,Dec,4.1025
3/15/2018,East,3.95,Dec,4.0625
3/22/2018,East,3.84,Dec,3.98
3/29/2018,East,3.96,Dec,4.115
4/5/2018,East,4,Dec,4.1325
4/12/2018,East,3.99,Dec,4.135
4/19/2018,East,3.93,Dec,4.08
4/26/2018,East,3.96,Dec,4.1125
5/3/2018,East,4.15,Dec,4.2225
5/10/2018,East,4.11,Dec,4.195
5/17/2018,East,4.04,Dec,4.13
5/24/2018,East,4.13,Dec,4.225
5/31/2018,East,4.03,Dec,4.1375
6/7/2018,East,3.85,Dec,3.9675
6/14/2018,East,3.72,Dec,3.845
6/21/2018,East,3.66,Dec,3.7825
6/28/2018,East,3.54,Dec,3.66
1/4/2018,East,3.6,Jul,3.6775
1/11/2018,East,3.58,Jul,3.65
1/18/2018,East,3.63,Jul,3.6775
1/25/2018,East,3.66,Jul,3.7175
2/1/2018,East,3.74,Jul,3.7775
2/8/2018,East,3.78,Jul,3.81
2/15/2018,East,3.81,Jul,3.83
2/22/2018,East,3.8,Jul,3.825
3/1/2018,East,3.93,Jul,3.935
3/8/2018,East,4.01,Jul,4.005
3/15/2018,East,3.95,Jul,3.945
3/22/2018,East,3.84,Jul,3.8425
3/29/2018,East,3.96,Jul,3.9625
4/5/2018,East,4,Jul,3.9825
4/12/2018,East,3.99,Jul,3.9725
4/19/2018,East,3.93,Jul,3.91
4/26/2018,East,3.96,Jul,3.9525
5/3/2018,East,4.15,Jul,4.08
5/10/2018,East,4.11,Jul,4.02
5/17/2018,East,4.04,Jul,3.9525
5/24/2018,East,4.13,Jul,4.0425
5/31/2018,East,4.03,Jul,3.94
6/7/2018,East,3.85,Jul,3.7625
6/14/2018,East,3.72,Jul,3.63
6/21/2018,East,3.66,Jul,3.57
6/28/2018,East,3.54,Jul,3.45
1/4/2018,East,3.6,Sep,3.7525
1/11/2018,East,3.58,Sep,3.73
1/18/2018,East,3.63,Sep,3.7525
1/25/2018,East,3.66,Sep,3.7925
2/1/2018,East,3.74,Sep,3.85
2/8/2018,East,3.78,Sep,3.8725
2/15/2018,East,3.81,Sep,3.8975
2/22/2018,East,3.8,Sep,3.895
3/1/2018,East,3.93,Sep,3.9875
3/8/2018,East,4.01,Sep,4.05
3/15/2018,East,3.95,Sep,4
3/22/2018,East,3.84,Sep,3.905
3/29/2018,East,3.96,Sep,4.0325
4/5/2018,East,4,Sep,4.0475
4/12/2018,East,3.99,Sep,4.0425
4/19/2018,East,3.93,Sep,3.985
4/26/2018,East,3.96,Sep,4.0225
5/3/2018,East,4.15,Sep,4.155
5/10/2018,East,4.11,Sep,4.1025
5/17/2018,East,4.04,Sep,4.035
5/24/2018,East,4.13,Sep,4.13
5/31/2018,East,4.03,Sep,4.0325
6/7/2018,East,3.85,Sep,3.8525
6/14/2018,East,3.72,Sep,3.7275
6/21/2018,East,3.66,Sep,3.665
6/28/2018,East,3.54,Sep,3.5425
1/4/2018,North,3.69,Dec,3.845
1/11/2018,North,3.69,Dec,3.8275
1/18/2018,North,3.74,Dec,3.85
1/25/2018,North,3.74,Dec,3.885
2/1/2018,North,3.81,Dec,3.9325
2/8/2018,North,3.85,Dec,3.95
2/15/2018,North,3.93,Dec,3.975
2/22/2018,North,3.87,Dec,3.9725
3/1/2018,North,4,Dec,4.0475
3/8/2018,North,4.12,Dec,4.1025
3/15/2018,North,4.1,Dec,4.0625
3/22/2018,North,3.99,Dec,3.98
3/29/2018,North,4.11,Dec,4.115
