Location,Commodity,Delivery Start,Delivery End,Symbol,Futures,Basis,Cash Price,Notes
BEAMAN,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-19,$5.34 ,
BEAMAN,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
BEAMAN,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
BEAMAN,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
BEAMAN,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
BEAMAN,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
BEAMAN,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
BEAMAN,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-53,$11.52 ,
BEAMAN,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
BEAMAN,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
BEAMAN,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
BEAMAN,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-61,$11.49 ,
CONRAD,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-19,$5.34 ,
CONRAD,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
CONRAD,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
CONRAD,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
CONRAD,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
CONRAD,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
CONRAD,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
CONRAD,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-53,$11.52 ,
CONRAD,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
CONRAD,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
CONRAD,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
CONRAD,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-61,$11.49 ,
LISCOMB,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-17,$5.36 ,
LISCOMB,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
LISCOMB,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-25,$5.37 ,
LISCOMB,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
LISCOMB,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
LISCOMB,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
LISCOMB,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
LISCOMB,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-45,$11.60 ,
LISCOMB,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-45,$11.72 ,
LISCOMB,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
LISCOMB,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
LISCOMB,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-61,$11.49 ,
HAVERHILL,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-20,$5.33 ,
HAVERHILL,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
HAVERHILL,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
HAVERHILL,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
HAVERHILL,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
HAVERHILL,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
HAVERHILL,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
HAVERHILL,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-55,$11.50 ,
HAVERHILL,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
HAVERHILL,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
HAVERHILL,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
HAVERHILL,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-65,$11.45 ,
GREEN MOUNTAIN,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-20,$5.33 ,
GREEN MOUNTAIN,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
GREEN MOUNTAIN,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
GREEN MOUNTAIN,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
GREEN MOUNTAIN,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
GREEN MOUNTAIN,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
GREEN MOUNTAIN,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
GREEN MOUNTAIN,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-55,$11.50 ,
GREEN MOUNTAIN,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
GREEN MOUNTAIN,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
GREEN MOUNTAIN,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
GREEN MOUNTAIN,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-65,$11.45 ,
MIDWAY,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-20,$5.33 ,
MIDWAY,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
MIDWAY,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
MIDWAY,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
MIDWAY,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
MIDWAY,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
MIDWAY,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
MIDWAY,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-55,$11.50 ,
MIDWAY,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
MIDWAY,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
MIDWAY,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
MIDWAY,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-67,$11.43 ,
MILL JUNCTION,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-15,$5.38 ,
MILL JUNCTION,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-22,$5.40 ,
MILL JUNCTION,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
MILL JUNCTION,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
MILL JUNCTION,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
MILL JUNCTION,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
MILL JUNCTION,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
MILL JUNCTION,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-55,$11.50 ,
MILL JUNCTION,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
MILL JUNCTION,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
MILL JUNCTION,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
MILL JUNCTION,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-61,$11.49 ,
CEDAR FALLS,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-17,$5.36 ,
CEDAR FALLS,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
CEDAR FALLS,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-20,$5.42 ,
CEDAR FALLS,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
CEDAR FALLS,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
CEDAR FALLS,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
WATERLOO,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
WATERLOO,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-60,$11.45 ,
WATERLOO,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-60,$11.57 ,
WATERLOO,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
WATERLOO,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
WATERLOO,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-70,$11.40 ,
LAPORTE CITY,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-16,$5.37 ,
LAPORTE CITY,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
LAPORTE CITY,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-25,$5.37 ,
LAPORTE CITY,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
LAPORTE CITY,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
LAPORTE CITY,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
LAPORTE CITY,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
LAPORTE CITY,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-55,$11.50 ,
LAPORTE CITY,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
LAPORTE CITY,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
LAPORTE CITY,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
LAPORTE CITY,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-67,$11.43 ,
HUDSON,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-20,$5.33 ,
HUDSON,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-23,$5.39 ,
HUDSON,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
HUDSON,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
HUDSON,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
HUDSON,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
HUDSON,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
HUDSON,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-60,$11.45 ,
HUDSON,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-60,$11.57 ,
HUDSON,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
HUDSON,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
HUDSON,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-67,$11.43 ,
JESUP,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-12,$5.41 ,
JESUP,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-20,$5.42 ,
JESUP,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-20,$5.42 ,
JESUP,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
JESUP,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
JESUP,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
JESUP,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
JESUP,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-60,$11.45 ,
JESUP,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-60,$11.57 ,
JESUP,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
JESUP,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
JESUP,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-67,$11.43 ,
ADM CEDAR RAPIDS,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,5,$5.58 ,
ADM CEDAR RAPIDS,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-2,$5.60 ,
ADM CEDAR RAPIDS,Corn,3/1/2022,3/31/2022,ZCH22,562-2,4,$5.66 ,
ADM CEDAR RAPIDS,Corn,5/1/2022,5/31/2022,ZCK22,567-2,7,$5.74 ,
ADM CEDAR RAPIDS,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-5,$5.64 ,
ADM CEDAR RAPIDS,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-25,$5.15 ,
CARGILL STARCH,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,5,$5.58 ,
CARGILL STARCH,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-2,$5.60 ,
CARGILL STARCH,Corn,3/1/2022,3/31/2022,ZCH22,562-2,1,$5.63 ,
CARGILL STARCH,Corn,5/1/2022,5/31/2022,ZCK22,567-2,6,$5.73 ,
CARGILL STARCH,Corn,7/1/2022,7/31/2022,ZCN22,568-6,3,$5.72 ,
CARGILL STARCH,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-25,$5.15 ,
INGREDION,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,5,$5.58 ,
INGREDION,Corn,1/1/2022,1/31/2022,ZCH22,562-2,0,$5.62 ,
INGREDION,Corn,3/1/2022,3/31/2022,ZCH22,562-2,4,$5.66 ,
INGREDION,Corn,5/1/2022,5/31/2022,ZCK22,567-2,6,$5.73 ,
INGREDION,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-5,$5.64 ,
INGREDION,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-25,$5.15 ,
FORT DODGE,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,15,$5.68 ,
FORT DODGE,Corn,1/1/2022,1/31/2022,ZCH22,562-2,5,$5.67 ,
FORT DODGE,Corn,3/1/2022,3/31/2022,ZCH22,562-2,1,$5.63 ,
FORT DODGE,Corn,5/1/2022,5/31/2022,ZCK22,567-2,6,$5.73 ,
FORT DODGE,Corn,7/1/2022,7/31/2022,ZCN22,568-6,3,$5.72 ,
FORT DODGE,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-20,$5.20 ,
JEWELL,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-6,$5.47 ,
JEWELL,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-10,$5.52 ,
JEWELL,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-10,$5.52 ,
JEWELL,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-12,$5.55 ,
JEWELL,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-12,$5.57 ,
JEWELL,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-30,$5.10 ,
LINCOLNWAY,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-7,$5.46 ,
LINCOLNWAY,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-13,$5.49 ,
LINCOLNWAY,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-13,$5.49 ,
LINCOLNWAY,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-14,$5.53 ,
LINCOLNWAY,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-3,$5.66 ,
LINCOLNWAY,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-30,$5.10 ,
PINELAKE,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-5,$5.48 ,
PINELAKE,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-12,$5.50 ,
PINELAKE,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-4,$5.58 ,
PINELAKE,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-5,$5.62 ,
PINELAKE,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-10,$5.59 ,
PINELAKE,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-30,$5.10 ,
CARGILL IA FALLS,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-15,$11.90 ,
CARGILL IA FALLS,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,0,$12.05 ,
CARGILL IA FALLS,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-20,$11.97 ,
CARGILL IA FALLS,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-20,$12.08 ,
CARGILL IA FALLS,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-25,$12.10 ,
CARGILL IA FALLS,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-50,$11.60 ,
CARGILL CEDAR RAPIDS,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-5,$12.00 ,
CARGILL CEDAR RAPIDS,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,0,$12.05 ,
CARGILL CEDAR RAPIDS,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-20,$11.97 ,
CARGILL CEDAR RAPIDS,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-20,$12.08 ,
CARGILL CEDAR RAPIDS,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-25,$12.10 ,
CARGILL CEDAR RAPIDS,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-50,$11.60 ,
ADM DSM,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-10,$11.95 ,
ADM DSM,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-10,$11.95 ,
ADM DSM,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-10,$12.07 ,
ADM DSM,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-20,$12.08 ,
ADM DSM,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-25,$12.10 ,
ADM DSM,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-40,$11.70 ,
EDDY,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-3,$5.50 ,
EDDY,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-7,$5.55 ,
EDDY,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-1,$5.61 ,
EDDY,Corn,5/1/2022,5/31/2022,ZCK22,567-2,0,$5.67 ,
EDDY,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-2,$5.67 ,
EDDY,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-30,$5.10 ,
POET F.B.,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-20,$5.33 ,
POET F.B.,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-15,$5.47 ,
POET F.B.,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-15,$5.47 ,
POET F.B.,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-15,$5.52 ,
POET F.B.,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-15,$5.54 ,
POET F.B.,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-25,$5.15 ,
POET IA FALLS,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-5,$5.48 ,
POET IA FALLS,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-20,$5.42 ,
POET IA FALLS,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-20,$5.42 ,
POET IA FALLS,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-15,$5.52 ,
POET IA FALLS,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-20,$5.49 ,
POET IA FALLS,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-30,$5.10 ,
POET S.R.,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-15,$5.38 ,
POET S.R.,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-10,$5.52 ,
POET S.R.,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-10,$5.52 ,
POET S.R.,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-15,$5.52 ,
POET S.R.,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-15,$5.54 ,
POET S.R.,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-25,$5.15 ,
